province,population,area,density,region
Ho Chi Minh,14002598,6772.6,2067.0,Southeast
Hanoi,8807523,3359.8,2621.0,Red River Delta
An Giang,4952238,9888.9,500.0,Mekong River Delta
Haiphong,4664124,3194.7,1459.0,Red River Delta
Dong Nai,4491408,12737.2,352.0,Southeast
Ninh Binh,4412464,3942.6,1119.0,Red River Delta
Dong Thap,4370046,5938.6,735.0,Mekong River Delta
Thanh Hoa,4324783,11114.7,389.0,North Central Coast
Vinh Long,4257581,6296.2,676.0,Mekong River Delta
Can Tho,4199824,6360.8,660.0,Mekong River Delta
Phu Tho,4022638,9361.4,429.0,Northeast
Lam Dong,3872999,24233.1,159.0,Central Highlands
Nghe An,3831694,16486.5,232.0,North Central Coast
Bac Ninh,3619433,3194.7,1132.0,Red River Delta
Gia Lai,3583693,21576.9,166.0,Central Highlands
Hung Yen,3567943,2514.8,1418.0,Red River Delta
Dak Lak,3346853,18096.4,184.0,Central Highlands
Tay Ninh,3254170,8536.4,381.0,Southeast
Da Nang,3065628,11859.6,258.0,South Central Coast
Ca Mau,2606672,7942.4,328.0,Mekong River Delta
Khanh Hoa,2243554,8555.9,262.0,South Central Coast
Quang Ngai,2161755,14832.5,145.0,South Central Coast
Quang Tri,1870845,12700.0,147.0,North Central Coast
Tuyen Quang,1865270,13795.5,135.0,Northeast
Thai Nguyen,1799489,8375.2,214.0,Northeast
Lao Cai,1778785,13256.9,134.0,Northwest
Ha Tinh,1622901,5994.4,270.0,North Central Coast
Quang Ninh,1497477,6207.9,241.0,Red River Delta
Hue,1432986,4947.1,289.0,North Central
Son La,1404587,14108.9,99.0,Northwest
Lang Son,881384,8310.2,106.0,Northeast
Dien Bien,673091,9539.9,70.0,Northwest
Cao Bang,573119,6700.4,85.0,Northeast
Lai Chau,512601,9068.7,56.0,Northwest
